,movieId,title,year,Comedy,rating
0,1,Toy Story (1995),1995.0,True,49695
1,3,Grumpier Old Men (1995),1995.0,True,12735
2,4,Waiting to Exhale (1995),1995.0,True,2756
3,5,Father of the Bride Part II (1995),1995.0,True,12161
4,7,Sabrina (1995),1995.0,True,12961
5,11,"American President, The (1995)",1995.0,True,18162
6,12,Dracula: Dead and Loving It (1995),1995.0,True,3845
7,18,Four Rooms (1995),1995.0,True,5203
8,19,Ace Ventura: When Nature Calls (1995),1995.0,True,20938
9,20,Money Train (1995),1995.0,True,4084
10,21,Get Shorty (1995),1995.0,True,24116
11,38,It Takes Two (1995),1995.0,True,552
12,39,Clueless (1995),1995.0,True,26254
13,45,To Die For (1995),1995.0,True,8933
14,52,Mighty Aphrodite (1995),1995.0,True,9320
15,54,"Big Green, The (1995)",1995.0,True,956
16,58,"Postman, The (Postino, Il) (1994)",1994.0,True,11549
17,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,True,2334
18,64,Two if by Sea (1996),1996.0,True,2086
19,65,Bio-Dome (1996),1996.0,True,4864
20,68,French Twist (Gazon maudit) (1995),1995.0,True,1238
21,69,Friday (1995),1995.0,True,4288
22,70,From Dusk Till Dawn (1996),1996.0,True,12712
23,72,Kicking and Screaming (1995),1995.0,True,1230
24,75,Big Bully (1996),1996.0,True,558
25,82,Antonia's Line (Antonia) (1995),1995.0,True,2538
26,84,Last Summer in the Hamptons (1995),1995.0,True,158
27,87,Dunston Checks In (1996),1996.0,True,976
28,88,Black Sheep (1996),1996.0,True,4864
29,93,Vampire in Brooklyn (1995),1995.0,True,1966
30,94,Beautiful Girls (1996),1996.0,True,4030
31,96,In the Bleak Midwinter (1995),1995.0,True,483
32,101,Bottle Rocket (1996),1996.0,True,4298
33,102,Mr. Wrong (1996),1996.0,True,1992
34,104,Happy Gilmore (1996),1996.0,True,17915
35,106,Nobody Loves Me (Keiner liebt mich) (1994),1994.0,True,134
36,107,Muppet Treasure Island (1996),1996.0,True,6376
37,109,Headless Body in Topless Bar (1995),1995.0,True,16
38,112,Rumble in the Bronx (Hont faan kui) (1995),1995.0,True,11890
39,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",1995.0,True,38
40,118,If Lucy Fell (1996),1996.0,True,1136
41,119,"Steal Big, Steal Little (1995)",1995.0,True,264
42,120,Race the Sun (1996),1996.0,True,147
43,122,Boomerang (1992),1992.0,True,3888
44,125,Flirting With Disaster (1996),1996.0,True,3518
45,129,Pie in the Sky (1996),1996.0,True,190
46,133,Nueba Yol (1995),1995.0,True,19
47,135,Down Periscope (1996),1996.0,True,6305
48,141,"Birdcage, The (1996)",1996.0,True,22020
49,144,"Brothers McMullen, The (1995)",1995.0,True,4505
50,145,Bad Boys (1995),1995.0,True,11975
51,153,Batman Forever (1995),1995.0,True,32867
52,156,Blue in the Face (1995),1995.0,True,1663
53,157,Canadian Bacon (1995),1995.0,True,2596
54,166,"Doom Generation, The (1995)",1995.0,True,650
55,171,Jeffrey (1995),1995.0,True,1427
56,174,Jury Duty (1995),1995.0,True,2124
57,176,Living in Oblivion (1995),1995.0,True,2363
58,178,Love & Human Remains (1993),1993.0,True,500
59,180,Mallrats (1995),1995.0,True,8400
60,183,Mute Witness (1994),1994.0,True,614
61,186,Nine Months (1995),1995.0,True,11222
62,187,Party Girl (1995),1995.0,True,943
63,189,Reckless (1995),1995.0,True,336
64,194,Smoke (1995),1995.0,True,5937
65,195,Something to Talk About (1995),1995.0,True,3242
66,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995.0,True,5429
67,205,Unstrung Heroes (1995),1995.0,True,1355
68,212,Bushwhacked (1995),1995.0,True,447
69,216,Billy Madison (1995),1995.0,True,8547
70,218,Boys on the Side (1995),1995.0,True,4248
71,223,Clerks (1994),1994.0,True,23695
72,224,Don Juan DeMarco (1995),1995.0,True,8581
73,228,Destiny Turns on the Radio (1995),1995.0,True,475
74,231,Dumb & Dumber (Dumb and Dumber) (1994),1994.0,True,32085
75,232,Eat Drink Man Woman (Yin shi nan nu) (1994),1994.0,True,6150
76,234,Exit to Eden (1994),1994.0,True,3269
77,235,Ed Wood (1994),1994.0,True,16419
78,236,French Kiss (1995),1995.0,True,12215
79,237,Forget Paris (1995),1995.0,True,6422
80,239,"Goofy Movie, A (1995)",1995.0,True,3178
81,243,Gordy (1995),1995.0,True,439
82,248,Houseguest (1994),1994.0,True,3161
83,250,Heavyweights (Heavy Weights) (1995),1995.0,True,892
84,252,I.Q. (1994),1994.0,True,10074
85,255,"Jerky Boys, The (1995)",1995.0,True,1081
86,256,Junior (1994),1994.0,True,9890
87,258,"Kid in King Arthur's Court, A (1995)",1995.0,True,1710
88,267,Major Payne (1995),1995.0,True,3792
89,272,"Madness of King George, The (1994)",1994.0,True,7871
90,274,Man of the House (1995),1995.0,True,1181
91,275,Mixed Nuts (1994),1994.0,True,1564
92,276,Milk Money (1994),1994.0,True,5459
93,278,Miami Rhapsody (1995),1995.0,True,1157
94,281,Nobody's Fool (1994),1994.0,True,3936
95,287,Nina Takes a Lover (1994),1994.0,True,329
96,289,Only You (1994),1994.0,True,3192
97,294,"Perez Family, The (1995)",1995.0,True,851
98,295,"Pyromaniac's Love Story, A (1995)",1995.0,True,469
99,296,Pulp Fiction (1994),1994.0,True,67310
100,304,Roommates (1995),1995.0,True,724
101,305,Ready to Wear (Pret-A-Porter) (1994),1994.0,True,3429
102,308,Three Colors: White (Trzy kolory: Bialy) (1994),1994.0,True,5170
103,310,Rent-a-Kid (1995),1995.0,True,245
104,312,Stuart Saves His Family (1995),1995.0,True,1325
105,317,"Santa Clause, The (1994)",1994.0,True,16183
106,319,Shallow Grave (1994),1994.0,True,7180
107,322,Swimming with Sharks (1995),1995.0,True,2986
108,324,"Sum of Us, The (1994)",1994.0,True,469
109,325,National Lampoon's Senior Trip (1995),1995.0,True,1036
110,327,Tank Girl (1995),1995.0,True,7159
111,333,Tommy Boy (1995),1995.0,True,10962
112,339,While You Were Sleeping (1995),1995.0,True,23214
113,342,Muriel's Wedding (1994),1994.0,True,11690
114,344,Ace Ventura: Pet Detective (1994),1994.0,True,38226
115,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994.0,True,10312
116,348,Bullets Over Broadway (1994),1994.0,True,8038
117,351,"Corrina, Corrina (1994)",1994.0,True,3667
118,352,Crooklyn (1994),1994.0,True,1343
119,355,"Flintstones, The (1994)",1994.0,True,9939
120,356,Forrest Gump (1994),1994.0,True,66172
121,357,Four Weddings and a Funeral (1994),1994.0,True,27699
122,359,I Like It Like That (1994),1994.0,True,277
123,360,I Love Trouble (1994),1994.0,True,2101
124,361,It Could Happen to You (1994),1994.0,True,4993
125,367,"Mask, The (1994)",1994.0,True,34384
126,368,Maverick (1994),1994.0,True,17062
127,370,Naked Gun 33 1/3: The Final Insult (1994),1994.0,True,14261
128,371,"Paper, The (1994)",1994.0,True,4313
129,372,Reality Bites (1994),1994.0,True,8010
130,374,Richie Rich (1994),1994.0,True,4965
131,378,Speechless (1994),1994.0,True,2342
